Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
autotrader,autotrader,,6,6,5,0.461276,0.472588,0,1,15,185,0
carreviews,carreviews,,6,6,5,0.461276,0.472588,0,1,15,185,0
keywordposition,keywordposition,,4,4,5,0.460033,0.471564,0,1,6,262,0
twittermarketing,twittermarketing,,5,5,6,0.325547,0.329906,0,1,10,217,0
connectonchad,connectonchad,,5,5,5,0.46048,0.47194,0,1,10,1,0
cramer,cramer,,4,4,5,0.462485,0.473445,0,1,6,340,0
investments,investments,,7,7,5,0.462958,0.473909,2127.024712,0.666667,14,340,0
entertainerfamily,entertainerfamily,,4,8,5,0.339929,0.347094,0,1,6,186,0
musicfamily,musicfamily,,4,8,5,0.339929,0.347094,0,1,6,186,0
entalumni,entalumni,,4,8,5,0.339929,0.347094,0,1,6,186,0
politicallybiased,politicallybiased,,5,5,5,0.46097,0.4723,0,1,10,335,0
communists,communists,,5,5,5,0.46097,0.4723,0,1,10,335,0
laptop,laptop,,2,2,5,0.459911,0.471404,0,1,1,131,0
korean,korean,,8,8,5,0.46097,0.472396,0,1,28,243,0
friend,friend,,17,124,5,0.461358,0.472989,143.574842,0.485294,66,142,0
finder,finder,,8,8,5,0.46097,0.472396,0,1,28,243,0
advanced,advanced,,8,8,5,0.46097,0.472396,0,1,28,243,0
netfreedom,netfreedom,,2,2,5,0.45983,0.47134,0,1,1,217,0
indiana,indiana,,38,141,5,0.337987,0.345827,225.94853,0.583215,410,45,0
deleteyourwall,deleteyourwall,,5,5,5,0.460195,0.471716,0,1,10,217,0
georgeorwell1984,georgeorwell1984,,5,5,5,0.460195,0.471716,0,1,10,217,0
nabshow,nabshow,,1,1,5,0.459687,0.471196,0,0,0,217,0
malkin,malkin,,4,4,5,0.462444,0.473413,0,1,6,217,0
anyone,anyone,,14,45,5,0.460317,0.472092,0,1,91,131,0
tries,tries,,14,45,5,0.460317,0.472092,0,1,91,131,0
a,a,,18,51,5,0.460399,0.472284,32.497902,0.660131,101,131,0
that,that,,27,58,5,0.460745,0.472844,4698.427754,0.509972,179,131,0
watched,watched,,14,45,5,0.460317,0.472092,0,1,91,131,0
die,die,,14,45,5,0.460317,0.472092,0,1,91,131,0
latestnews,latestnews,,6,7,5,0.460033,0.471628,10.967532,0.6,9,131,0
gmug,gmug,,3,3,5,0.459728,0.471292,0,1,3,131,0
waitforit,waitforit,,3,3,5,0.459728,0.471292,0,1,3,131,0
restart,restart,,1,1,5,0.459687,0.471196,0,0,0,217,0
tidepod,tidepod,,2,3,5,0.459708,0.471244,0,1,1,187,0
magic8ball,magic8ball,,2,3,5,0.459708,0.471244,0,1,1,187,0
1984orwell,1984orwell,,2,3,5,0.459708,0.471244,0,1,1,188,0
nationalpetsday,nationalpetsday,,2,2,5,0.459789,0.471308,0,1,1,217,0
nab2018,nab2018,,5,27,5,0.460766,0.472172,0,1,10,217,0
drpecon,drpecon,,5,5,5,0.460847,0.472236,0,1,10,217,0
io,io,,5,5,5,0.460847,0.472236,0,1,10,217,0
astrology,astrology,,5,5,5,0.460949,0.472316,0,1,10,189,0
saturn,saturn,,5,5,5,0.460949,0.472316,0,1,10,189,0
pluto,pluto,,5,5,5,0.460949,0.472316,0,1,10,189,0
taiwann,taiwann,,27,81,5,0.331751,0.337691,123.329924,0.680912,239,45,0
facebookhearins,facebookhearins,,3,3,5,0.45987,0.471404,0,1,3,325,0
